product_id,name,category,price
1,Nova Prism,Productivity,4080
2,Quantum Lens,Home,2469
3,Zenith Watch,Home,4780
4,Ethereal Pods,Electronics,2099
5,Solaris Slate,Productivity,2812
6,Aether Glass,Wearables,619
7,Nebula Hub,Lifestyle,2376
8,Void Speaker,Lifestyle,1064
9,Chronos Band,Home,4137
10,Lumina Ring,Productivity,4875
11,Aura Frame,Wearables,4076
12,Flux Controller,Wearables,3285
13,Plasma Desk,Productivity,2002
14,Ghost Keyboard,Wearables,4827
15,Titan Mouse,Productivity,4524
16,Vector Glasses,Productivity,4271
17,Binary Suit,Productivity,1454
18,Neon Jacket,Electronics,871
19,Cyber Pouch,Productivity,3035
20,Orbit Wallet,Wearables,4631
21,Pulse Monitor,Electronics,3921
22,Stellar Lamp,Wearables,3061
23,Mantle Case,Productivity,2574
24,Gravity Pen,Electronics,4984
25,Ion Bottle,Productivity,2105
26,Spark Drone,Productivity,2167
27,Vortex Fan,Productivity,4190
28,Helix Stand,Wearables,4374
29,Sigma Board,Lifestyle,3142
30,Omega Key,Productivity,2969
31,Alpha Node,Electronics,4731
32,Delta Screen,Home,3170
33,Echo Mic,Electronics,3478
34,Rift Headset,Electronics,3270
35,Core CPU,Productivity,2111
36,Glow GPU,Lifestyle,3677
37,Shard SSD,Electronics,3129
38,Mirror RAM,Wearables,708
39,Warp Router,Electronics,2317
40,Link Modem,Home,4301
41,Sync Tablet,Home,3514
42,Flow Phone,Wearables,1576
43,Beam Camera,Wearables,1588
44,Focus Lens,Home,2536
45,Pixel Pad,Wearables,4134
46,Wave Audio,Electronics,4084
47,Tone Amp,Productivity,3368
48,Bass Sub,Wearables,2534
49,High Twt,Wearables,4235
50,Mid Range,Wearables,3836
